peak	MA0102.5	MA0113.4	MA0148.5	MA0466.4	MA0480.3	MA2323.1	MA2327.1
chr1:3120174-3120674	0	0	0	0	0	0	0
chr1:3416332-3416832	0	0	0	0	0	0	0
chr1:3514721-3515221	0	0	0	0	0	0	0
chr1:3670530-3671030	0	0	0	0	0	0	0
chr1:3671941-3672441	0	0	0	0	0	0	0
chr1:3900179-3900679	0	0	0	0	0	0	0
chr1:3903402-3903902	0	0	0	0	0	0	0
chr1:3913530-3914030	0	0	0	0	0	0	0
chr1:3934667-3935167	0	0	0	0	0	0	0
chr1:4412543-4413043	0	0	0	0	0	0	0
chr1:4426938-4427438	0	0	0	0	0	0	0
chr1:4544129-4544629	0	0	0	0	0	0	0
chr1:4549697-4550197	0	0	0	0	0	0	0
chr1:4571559-4572059	0	0	0	0	0	0	0
chr1:4671547-4672047	0	0	0	0	0	0	0
chr1:4766657-4767157	0	0	0	0	0	0	0
chr1:4779816-4780316	0	0	0	0	0	0	0
chr1:4785545-4786045	0	0	0	0	0	0	0
chr1:4807100-4807600	0	0	0	0	0	0	0
chr1:4808410-4808910	0	0	0	0	0	0	0
chr1:4820412-4820912	0	0	0	0	0	0	0
chr1:4829286-4829786	0	0	0	0	0	0	0
chr1:4857587-4858087	0	0	0	0	0	0	0
chr1:5083548-5084048	0	0	0	0	0	0	0
chr1:5103207-5103707	0	0	0	0	0	0	0
chr1:5128581-5129081	0	0	0	0	0	0	0
chr1:5133755-5134255	0	0	0	0	0	0	0
chr1:5183494-5183994	0	0	0	0	0	0	0
chr1:5278892-5279392	0	0	0	0	0	0	0
chr1:5315786-5316286	0	0	0	0	0	0	0
chr1:5326248-5326748	0	0	0	0	0	0	0
chr1:5334105-5334605	0	0	0	0	0	0	0
chr1:6213978-6214478	0	0	0	0	0	0	0
chr1:6215089-6215589	0	0	0	0	0	0	0
chr1:6271969-6272469	0	0	0	0	0	0	0
chr1:6866574-6867074	0	0	0	0	0	0	0
chr1:7010374-7010874	0	0	0	0	0	0	0
chr1:7015259-7015759	0	0	0	0	0	0	0
chr1:7089135-7089635	0	0	0	0	0	0	0
chr1:7100247-7100747	0	0	0	0	0	0	0
chr1:7109312-7109812	0	0	0	0	0	0	0
chr1:7113092-7113592	0	0	0	0	0	0	0
chr1:7121281-7121781	0	0	0	0	0	0	0
chr1:7138211-7138711	0	0	0	0	0	0	0
chr1:7141648-7142148	0	0	0	0	0	0	0
chr1:7204919-7205419	0	0	0	0	0	0	0
chr1:7206261-7206761	0	0	0	0	0	0	0
chr1:7397202-7397702	0	0	0	0	0	0	0
chr1:7543186-7543686	0	0	0	0	0	0	0
chr1:7548144-7548644	0	0	0	0	0	0	0
chr1:9513275-9513775	0	0	0	0	0	0	0
chr1:9525373-9525873	0	0	0	0	0	0	0
chr1:9529183-9529683	0	0	0	0	0	0	0
chr1:9547998-9548498	0	0	0	0	0	0	0
chr1:9564221-9564721	0	0	0	0	0	0	0
chr1:9570303-9570803	0	0	0	0	0	0	0
chr1:9578602-9579102	0	0	0	0	0	0	0
chr1:9621618-9622118	0	0	0	0	0	0	0
chr1:9700792-9701292	0	0	0	0	0	0	0
chr1:9731246-9731746	0	0	0	0	0	0	0
chr1:9739449-9739949	0	0	0	0	0	0	0
chr1:9747586-9748086	0	0	0	0	0	0	0
chr1:9772901-9773401	0	0	0	0	0	0	0
chr1:9798709-9799209	0	0	0	0	0	0	0
chr1:9804594-9805094	0	0	0	0	0	0	0
chr1:9813083-9813583	0	0	0	0	0	0	0
chr1:9847219-9847719	0	0	0	0	0	0	0
chr1:9848503-9849003	0	0	0	0	0	0	0
chr1:9881549-9882049	0	0	0	0	0	0	0
chr1:9906794-9907294	0	0	0	0	0	0	0
chr1:9943643-9944143	0	0	0	0	0	0	0
chr1:10038270-10038770	0	0	0	0	0	0	0
chr1:10231696-10232196	0	0	0	0	0	0	0
chr1:10233297-10233797	0	0	0	0	0	0	0
chr1:10835740-10836240	0	0	0	0	0	0	0
chr1:10993012-10993512	0	0	0	0	0	0	0
chr1:10993853-10994353	0	0	0	0	0	0	0
chr1:11004503-11005003	0	0	0	0	0	0	0
chr1:11139546-11140046	0	0	0	0	0	0	0
chr1:11151158-11151658	0	0	0	0	0	0	0
chr1:11233775-11234275	0	0	0	0	0	0	0
chr1:11251926-11252426	0	0	0	0	0	0	0
chr1:11267114-11267614	0	0	0	0	0	0	0
chr1:11294484-11294984	0	0	0	0	0	0	0
chr1:11329496-11329996	0	0	0	0	0	0	0
chr1:11348314-11348814	0	0	0	0	0	0	0
chr1:11401351-11401851	0	0	0	0	0	0	0
chr1:11413902-11414402	0	0	0	0	0	0	0
chr1:11421131-11421631	0	0	0	0	0	0	0
chr1:11443069-11443569	0	0	0	0	0	0	0
chr1:11451306-11451806	0	0	0	0	0	0	0
chr1:11458270-11458770	0	0	0	0	0	0	0
chr1:12403186-12403686	0	0	0	0	0	0	0
chr1:12405720-12406220	0	0	0	0	0	0	0
chr1:12488982-12489482	0	0	0	0	0	0	0
chr1:12572009-12572509	0	0	0	0	0	0	0
chr1:12614318-12614818	0	0	0	0	0	0	0
chr1:12640958-12641458	0	0	0	0	0	0	0
chr1:12692441-12692941	0	0	0	0	0	0	0
chr1:12697864-12698364	0	0	0	0	0	0	0
chr1:12701926-12702426	0	0	0	0	0	0	0
chr1:12764276-12764776	0	0	0	0	0	0	0
chr1:12777118-12777618	0	0	0	0	0	0	0
chr1:12786110-12786610	0	0	0	0	0	0	0
chr1:12836258-12836758	0	0	0	0	0	0	0
chr1:12864697-12865197	0	0	0	0	0	0	0
chr1:12871651-12872151	0	0	0	0	0	0	0
chr1:12877743-12878243	0	0	0	0	0	0	0
chr1:12992163-12992663	0	0	0	0	0	0	0
chr1:13051921-13052421	0	0	0	0	0	0	0
chr1:13152613-13153113	0	0	0	0	0	0	0
chr1:13171007-13171507	0	0	0	0	0	0	0
chr1:13185930-13186430	0	0	0	0	0	0	0
chr1:13188469-13188969	0	0	0	0	0	0	0
chr1:13194415-13194915	0	0	0	0	0	0	0
chr1:13206708-13207208	0	0	0	0	0	0	0
chr1:13255339-13255839	0	0	0	0	0	0	0
chr1:13301644-13302144	0	0	0	0	0	0	0
chr1:13312968-13313468	0	0	0	0	0	0	0
chr1:13322133-13322633	0	0	0	0	0	0	0
chr1:13352479-13352979	0	0	0	0	0	0	0
chr1:13366436-13366936	0	0	0	0	0	0	0
chr1:13372105-13372605	0	0	0	0	0	0	0
chr1:13426640-13427140	0	0	0	0	0	0	0
chr1:13531333-13531833	0	0	0	0	0	0	0
chr1:13561584-13562084	0	0	0	0	0	0	0
chr1:13587457-13587957	0	0	0	0	0	0	0
chr1:13628570-13629070	0	0	0	0	0	0	0
chr1:13636296-13636796	0	0	0	0	0	0	0
chr1:13659738-13660238	0	0	0	0	0	0	0
chr1:14108582-14109082	0	0	0	0	0	0	0
chr1:14740190-14740690	0	0	0	0	0	0	0
chr1:14755797-14756297	0	0	0	0	0	0	0
chr1:14773058-14773558	0	0	0	0	0	0	0
chr1:14776094-14776594	0	0	0	0	0	0	0
chr1:14794962-14795462	0	0	0	0	0	0	0
chr1:14862187-14862687	0	0	0	0	0	0	0
chr1:15621750-15622250	0	0	0	0	0	0	0
chr1:15805604-15806104	0	0	0	0	0	0	0
chr1:16059456-16059956	0	0	0	0	0	0	0
chr1:16104207-16104707	0	0	0	0	0	0	0
chr1:16111690-16112190	0	0	0	0	0	0	0
chr1:16113210-16113710	0	0	0	0	0	0	0
chr1:16228312-16228812	0	0	0	0	0	0	0
chr1:16341741-16342241	0	0	0	0	0	0	0
chr1:16359746-16360246	0	0	0	0	0	0	0
chr1:16383497-16383997	0	0	0	0	0	0	0
chr1:16433521-16434021	0	0	0	0	0	0	0
chr1:16440025-16440525	0	0	0	0	0	0	0
chr1:16570954-16571454	0	0	0	0	0	0	0
chr1:16587155-16587655	0	0	0	0	0	0	0
chr1:16606834-16607334	0	0	0	0	0	0	0
chr1:16617687-16618187	0	0	0	0	0	0	0
chr1:16619606-16620106	0	0	0	0	0	0	0
chr1:16626160-16626660	0	0	0	0	0	0	0
chr1:16641994-16642494	0	0	0	0	0	0	0
chr1:16656755-16657255	0	0	0	0	0	0	0
chr1:16665279-16665779	0	0	0	0	0	0	0
chr1:16688250-16688750	0	0	0	0	0	0	0
chr1:17071126-17071626	0	0	0	0	0	0	0
chr1:17096735-17097235	0	0	0	0	0	0	0
chr1:17098080-17098580	0	0	0	0	0	0	0
chr1:17123188-17123688	0	0	0	0	0	0	0
chr1:17163681-17164181	0	0	0	0	0	0	0
chr1:18106294-18106794	0	0	0	0	0	0	0
chr1:18148461-18148961	0	0	0	0	0	0	0
chr1:18976690-18977190	0	0	0	0	0	0	0
chr1:19205898-19206398	0	0	0	0	0	0	0
chr1:20311413-20311913	0	0	0	0	0	0	0
chr1:20513426-20513926	0	0	0	0	0	0	0
chr1:20519766-20520266	0	0	0	0	0	0	0
chr1:20794476-20794976	0	0	0	0	0	0	0
chr1:20801452-20801952	0	0	0	0	0	0	0
chr1:20820227-20820727	0	0	0	0	0	0	0
chr1:20890557-20891057	0	0	0	0	0	0	0
chr1:20939222-20939722	0	0	0	0	0	0	0
chr1:20951327-20951827	0	0	0	0	0	0	0
chr1:20995350-20995850	0	0	0	0	0	0	0
chr1:21002704-21003204	0	0	0	0	0	0	0
chr1:21008428-21008928	0	0	0	0	0	0	0
chr1:21014438-21014938	0	0	0	0	0	0	0
chr1:21038066-21038566	0	0	0	0	0	0	0
