seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr15	99931353	99931852	500	*	Promoter (<=1kb)	15	99918348	99931796	13449	2	72277	ENSMUST00000062631.14	0	ENSMUSG00000045350	Fam186a	family with sequence similarity 186, member A
chr17	28078235	28078734	500	*	Promoter (<=1kb)	17	28066751	28078505	11755	2	21463	ENSMUST00000233587.1	0	ENSMUSG00000062859	Tcp11	t-complex protein 11
chr2	164855837	164856336	500	*	Promoter (<=1kb)	2	164846813	164856796	9984	2	18830	ENSMUST00000142603.7	460	ENSMUSG00000017754	Pltp	phospholipid transfer protein
chr5	123945282	123945781	500	*	Promoter (<=1kb)	5	123946386	123954524	8139	1	208908	ENSMUST00000169898.2	-605	ENSMUSG00000061882	Ccdc62	coiled-coil domain containing 62
chr4	153989981	153990480	500	*	Exon (ENSMUST00000155414.1/230967, exon 2 of 2)	4	153989206	153990076	871	1	230967	ENSMUST00000155414.1	775	ENSMUSG00000039523	Cep104	centrosomal protein 104
chr7	118764977	118765476	500	*	Intron (ENSMUST00000059390.12/71517, intron 8 of 30)	7	118764124	118841487	77364	1	71517	ENSMUST00000033280.13	853	ENSMUSG00000030982	Vps35l	VPS35 endosomal protein sorting factor like
chr18	80758527	80759026	500	*	Exon (ENSMUST00000237845.1/50771, exon 1 of 2)	18	80755317	80759987	4671	2	50771	ENSMUST00000237845.1	961	ENSMUSG00000024566	Atp9b	ATPase, class II, type 9B
chr1	33718399	33718898	500	*	Promoter (<=1kb)	1	33719887	33723837	3951	1	19335	ENSMUST00000195006.5	-989	ENSMUSG00000004768	Rab23	RAB23, member RAS oncogene family
chr9	72485209	72485708	500	*	Intron (ENSMUST00000184312.7/21778, intron 4 of 12)	9	72477837	72486795	8959	2	21778	ENSMUST00000183501.1	1087	ENSMUSG00000090626	Tex9	testis expressed gene 9
chr16	21219638	21220137	500	*	Promoter (1-2kb)	16	21221686	21222687	1002	1	13845	ENSMUST00000160053.1	-1549	ENSMUSG00000005958	Ephb3	Eph receptor B3
chr8	64957336	64957835	500	*	Promoter (1-2kb)	8	64959543	64965591	6049	1	73067	ENSMUST00000211405.1	-1708	ENSMUSG00000025521	Tmem192	transmembrane protein 192
chr10	58405802	58406301	500	*	Promoter (1-2kb)	10	58408057	58410336	2280	1	110829	ENSMUST00000124312.1	-1756	ENSMUSG00000019920	Lims1	LIM and senescent cell antigen-like domains 1
chr7	46912100	46912599	500	*	Intron (ENSMUST00000014546.14/22088, intron 2 of 9)	7	46901025	46914410	13386	2	22088	ENSMUST00000211595.1	1811	ENSMUSG00000014402	Tsg101	tumor susceptibility gene 101
chr2	130728382	130728881	500	*	Intron (ENSMUST00000044766.14/228602, intron 28 of 36)	2	130712304	130730909	18606	2	228602	ENSMUST00000138758.1	2028	ENSMUSG00000027309	Dnaaf9	dynein axonemal assembly factor 9
chr7	139994891	139995390	500	*	Distal Intergenic	7	139983854	139992562	8709	2	11501	ENSMUST00000148670.7	-2329	ENSMUSG00000025473	Adam8	a disintegrin and metallopeptidase domain 8
chr8	61536703	61537202	500	*	Intron (ENSMUST00000121200.8/72333, intron 3 of 11)	8	61525121	61533841	8721	2	72333	ENSMUST00000136825.1	-2862	ENSMUSG00000058056	Palld	palladin, cytoskeletal associated protein
chr10	45350002	45350501	500	*	Intron (ENSMUST00000095715.4/23828, intron 5 of 7)	10	45353508	45354834	1327	1	23828	ENSMUST00000213557.1	-3007	ENSMUSG00000071317	Popdc1	popeye domain cAMP effector 1
chr2	177900618	177901117	500	*	Intron (ENSMUST00000108935.7/665205, intron 1 of 2)	2	177897096	177905784	8689	1	665205	ENSMUST00000108935.7	3522	NA	Zfp1003	zinc finger protein 1003
chr3	135526606	135527105	500	*	Intron (ENSMUST00000131610.7/110173, intron 8 of 13)	3	135522935	135524559	1625	1	110173	ENSMUST00000134095.1	3671	ENSMUSG00000028164	Manba	mannosidase, beta A, lysosomal
chr4	154146367	154146866	500	*	Exon (ENSMUST00000030895.11/59002, exon 3 of 12)	4	154142409	154156816	14408	1	59002	ENSMUST00000142665.1	3958	ENSMUSG00000029029	Wrap73	WD repeat containing, antisense to Trp73
chr4	46086927	46087426	500	*	Intron (ENSMUST00000107773.2/21916, intron 4 of 9)	4	46082847	46090881	8035	1	21916	ENSMUST00000136553.1	4080	ENSMUSG00000028328	Tmod1	tropomodulin 1
chr9	7575543	7576042	500	*	Intron (ENSMUST00000120900.7/234911, intron 4 of 9)	9	7571463	7581885	10423	1	234911	ENSMUST00000152878.2	4080	ENSMUSG00000070323	Mmp27	matrix metallopeptidase 27
chr3	87934877	87935376	500	*	Intron (ENSMUST00000055984.6/229504, intron 2 of 3)	3	87923663	87930717	7055	2	229503	ENSMUST00000161014.1	-4160	ENSMUSG00000004896	Mettl25b	methyltransferase like 25B
chr5	30935093	30935592	500	*	Exon (ENSMUST00000202627.1/68567, exon 2 of 2)	5	30930614	30931245	632	1	16548	ENSMUST00000200978.1	4479	ENSMUSG00000029162	Khk	ketohexokinase
chr9	6264776	6265275	500	*	3' UTR	9	6262733	6269846	7114	2	71829	ENSMUST00000051706.5	4571	ENSMUSG00000047619	Ddi1	DNA-damage inducible 1
chr7	75152648	75153147	500	*	Intron (ENSMUST00000165175.7/64176, intron 4 of 12)	7	75119941	75147726	27786	2	64176	ENSMUST00000207001.1	-4922	ENSMUSG00000053025	Sv2b	synaptic vesicle glycoprotein 2b
chr12	87031612	87032111	500	*	Intron (ENSMUST00000154801.7/217733, intron 1 of 25)	12	87026616	87057670	31055	1	217733	ENSMUST00000156162.7	4996	ENSMUSG00000034145	Tmem63c	transmembrane protein 63c
chr8	26113293	26113792	500	*	Intron (ENSMUST00000037182.13/320191, intron 1 of 21)	8	26021421	26119224	97804	2	320191	ENSMUST00000037182.13	5432	ENSMUSG00000037234	Hook3	hook microtubule tethering protein 3
chr9	53640852	53641351	500	*	Intron (ENSMUST00000166367.7/75717, intron 6 of 17)	9	53629215	53646812	17598	2	75717	ENSMUST00000141180.7	5461	ENSMUSG00000032030	Cul5	cullin 5
chr18	12965903	12966402	500	*	Intron (ENSMUST00000234763.1/16210, intron 1 of 5)	18	12971923	12992950	21028	1	16210	ENSMUST00000025290.6	-5521	ENSMUSG00000024423	Impact	impact, RWD domain protein
chr9	123579997	123580496	500	*	Intron (ENSMUST00000026270.8/83493, intron 13 of 19)	9	123586238	123591136	4899	1	83493	ENSMUST00000217089.1	-5742	ENSMUSG00000025240	Sacm1l	SAC1 suppressor of actin mutations 1-like (yeast)
chr11	33506846	33507345	500	*	Intron (ENSMUST00000102815.9/66011, intron 1 of 27)	11	33486033	33513094	27062	2	66011	ENSMUST00000147751.1	5749	ENSMUSG00000040594	Ranbp17	RAN binding protein 17
chr1	131285507	131286006	500	*	3' UTR	1	131254597	131279606	25010	2	56489	ENSMUST00000062108.9	-5901	ENSMUSG00000042349	Ikbke	inhibitor of kappaB kinase epsilon
chr9	54061779	54062278	500	*	Intron (ENSMUST00000098760.4/244882, intron 1 of 1)	9	54067355	54068372	1018	2	244882	ENSMUST00000214656.1	6094	ENSMUSG00000074345	Tnfaip8l3	tumor necrosis factor, alpha-induced protein 8-like 3
chr8	109081344	109081843	500	*	Intron (ENSMUST00000180524.7/628686, intron 2 of 9)	8	109075245	109228058	152814	1	628686	ENSMUST00000212085.1	6099	ENSMUSG00000097393	D030068K23Rik	RIKEN cDNA D030068K23 gene
chr10	88676405	88676904	500	*	3' UTR	10	88674772	88683023	8252	2	20728	ENSMUST00000004473.14	6119	ENSMUSG00000004359	Spic	Spi-C transcription factor (Spi-1/PU.1 related)
chr7	110214764	110215263	500	*	Distal Intergenic	7	110221711	110283506	61796	1	20947	ENSMUST00000033325.8	-6448	ENSMUSG00000031015	Swap70	SWA-70 protein
chr5	142394497	142394996	500	*	Distal Intergenic	5	142401497	142419620	18124	1	17425	ENSMUST00000198422.1	-6501	ENSMUSG00000056493	Foxk1	forkhead box K1
chr16	26630761	26631260	500	*	Intron (ENSMUST00000096129.8/16180, intron 2 of 10)	16	26624156	26715068	90913	1	16180	ENSMUST00000174171.1	6605	ENSMUSG00000022514	Il1rap	interleukin 1 receptor accessory protein
chr17	12459726	12460225	500	*	Exon (ENSMUST00000233535.1/20519, exon 3 of 10)	17	12466844	12479578	12735	1	77414	ENSMUST00000233194.1	-6619	ENSMUSG00000117314	C030013G03Rik	RIKEN cDNA C030013G03 gene
chr10	28675546	28676045	500	*	Intron (ENSMUST00000060409.12/210757, intron 1 of 4)	10	28668633	28782046	113414	1	210757	ENSMUST00000161345.1	6913	ENSMUSG00000049109	Themis	thymocyte selection associated
chr19	32255033	32255532	500	*	Intron (ENSMUST00000099514.9/208449, intron 3 of 9)	19	32218757	32248009	29253	2	208449	ENSMUST00000149934.1	-7024	ENSMUSG00000040451	Sgms1	sphingomyelin synthase 1
chr15	97741256	97741755	500	*	Distal Intergenic	15	97745368	97748872	3505	2	223864	ENSMUST00000125002.7	7117	ENSMUSG00000022469	Rapgef3	Rap guanine nucleotide exchange factor (GEF) 3
chr17	83747839	83748338	500	*	Intron (ENSMUST00000112350.7/116871, intron 4 of 13)	17	83755634	83800240	44607	1	116871	ENSMUST00000176816.7	-7296	ENSMUSG00000055817	Mta3	metastasis associated 3
chr13	64359189	64359688	500	*	3' UTR	13	64365092	64367055	1964	2	13039	ENSMUST00000222971.1	7367	ENSMUSG00000021477	Ctsl	cathepsin L
chr17	71319090	71319589	500	*	Intron (ENSMUST00000233188.1/ENSMUST00000233188.1, intron 1 of 2)	17	71252174	71311556	59383	2	246707	ENSMUST00000233245.1	-7534	ENSMUSG00000024053	Emilin2	elastin microfibril interfacer 2
