seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr10	121604557	121605056	500	*	Promoter (<=1kb)	10	121602302	121604598	2297	2	73192	ENSMUST00000218973.1	0	ENSMUSG00000034667	Xpot	exportin, tRNA (nuclear export receptor for tRNAs)
chr3	117077790	117078289	500	*	Promoter (<=1kb)	3	117060522	117077765	17244	2	433646	ENSMUST00000029642.7	-25	ENSMUSG00000028009	1700061I17Rik	RIKEN cDNA 1700061I17 gene
chr1	152371303	152371802	500	*	Promoter (<=1kb)	1	152370838	152372082	1245	2	66637	ENSMUST00000161717.1	280	ENSMUSG00000014980	Tsen15	tRNA splicing endonuclease subunit 15
chr6	129511573	129512072	500	*	Promoter (<=1kb)	6	129512555	129519227	6673	1	330428	ENSMUST00000032263.6	-483	ENSMUSG00000030160	Tmem52b	transmembrane protein 52B
chr14	105290823	105291322	500	*	Promoter (<=1kb)	14	105292289	105308869	16581	1	76273	ENSMUST00000149781.7	-967	ENSMUSG00000053253	Ndfip2	Nedd4 family interacting protein 2
chr9	72485209	72485708	500	*	Intron (ENSMUST00000184312.7/21778, intron 4 of 12)	9	72477837	72486795	8959	2	21778	ENSMUST00000183501.1	1087	ENSMUSG00000090626	Tex9	testis expressed gene 9
chr11	62831625	62832124	500	*	Promoter (1-2kb)	11	62833800	62841457	7658	1	94092	ENSMUST00000128623.1	-1676	ENSMUSG00000047821	Trim16	tripartite motif-containing 16
chr10	58405802	58406301	500	*	Promoter (1-2kb)	10	58408057	58410336	2280	1	110829	ENSMUST00000124312.1	-1756	ENSMUSG00000019920	Lims1	LIM and senescent cell antigen-like domains 1
chr4	115881870	115882369	500	*	Distal Intergenic	4	115884400	115887964	3565	1	654462	ENSMUST00000097918.2	-2031	ENSMUSG00000073774	Kncn	kinocilin
chr7	103362105	103362604	500	*	5' UTR	7	103358224	103359213	990	2	258311	ENSMUST00000080474.4	-2892	ENSMUSG00000109951	Or52s19	olfactory receptor family 52 subfamily S member 19
chr18	46967092	46967591	500	*	Intron (ENSMUST00000049388.8/69456, intron 3 of 6)	18	46963556	47087104	123549	1	69456	ENSMUST00000234376.1	3536	ENSMUSG00000042705	Commd10	COMM domain containing 10
chr10	111160021	111160520	500	*	Distal Intergenic	10	111164752	111297249	132498	1	237542	ENSMUST00000105275.8	-4232	ENSMUSG00000020189	Osbpl8	oxysterol binding protein-like 8
chr1	54652162	54652661	500	*	Intron (ENSMUST00000179030.7/329154, intron 26 of 27)	1	54649097	54657687	8591	2	329154	ENSMUST00000178156.7	5026	ENSMUSG00000052331	Ankrd44	ankyrin repeat domain 44
chr3	79494216	79494715	500	*	Intron (ENSMUST00000133154.6/329679, intron 9 of 17)	3	79459593	79500522	40930	2	329679	ENSMUST00000154645.1	5807	ENSMUSG00000061175	Fnip2	folliculin interacting protein 2
chr14	12816616	12817115	500	*	Intron (ENSMUST00000224882.1/27062, intron 1 of 28)	14	12372586	12823045	450460	2	27062	ENSMUST00000067491.13	5930	ENSMUSG00000054423	Cadps	Ca2+-dependent secretion activator
chr19	47925570	47926069	500	*	Distal Intergenic	19	47894602	47919299	24698	2	414801	ENSMUST00000095998.6	-6271	ENSMUSG00000117975	Itprip	inositol 1,4,5-triphosphate receptor interacting protein
chr13	20097958	20098457	500	*	Intron (ENSMUST00000181429.7/140580, intron 1 of 6)	13	20090619	20608353	517735	1	140580	ENSMUST00000072519.6	7339	ENSMUSG00000041112	Elmo1	engulfment and cell motility 1
chr15	52303117	52303616	500	*	Intron (ENSMUST00000037240.2/239436, intron 1 of 7)	15	52295553	52335798	40246	1	239436	ENSMUST00000037240.2	7564	ENSMUSG00000022315	Slc30a8	solute carrier family 30 (zinc transporter), member 8
chr2	161061286	161061785	500	*	Intron (ENSMUST00000039782.13/71389, intron 1 of 36)	2	161029839	161052578	22740	2	71389	ENSMUST00000130265.1	-8708	ENSMUSG00000057133	Chd6	chromodomain helicase DNA binding protein 6
chr12	34926034	34926533	500	*	Distal Intergenic	12	34095877	34917095	821219	2	79221	ENSMUST00000211752.1	-8939	ENSMUSG00000004698	Hdac9	histone deacetylase 9
chr14	122572149	122572648	500	*	Intron (ENSMUST00000148172.1/110821, intron 4 of 4)	14	122582684	122889828	307145	1	110821	ENSMUST00000177312.7	-10036	ENSMUSG00000041650	Pcca	propionyl-Coenzyme A carboxylase, alpha polypeptide
chr3	123256338	123256837	500	*	Distal Intergenic	3	123267455	123365641	98187	1	69608	ENSMUST00000047923.11	-10618	ENSMUSG00000039234	Sec24d	SEC24 homolog D, COPII coat complex component
chr7	116515496	116515995	500	*	Intron (ENSMUST00000032895.14/53322, intron 2 of 13)	7	116504415	116540443	36029	1	53322	ENSMUST00000183175.7	11081	ENSMUSG00000030659	Nucb2	nucleobindin 2
chr3	145821828	145822327	500	*	Intron (ENSMUST00000029845.14/69219, intron 1 of 5)	3	145810479	145889295	78817	1	69219	ENSMUST00000127193.1	11349	ENSMUSG00000028194	Ddah1	dimethylarginine dimethylaminohydrolase 1
chr13	41051426	41051925	500	*	Exon (ENSMUST00000225084.1/17152, exon 5 of 14)	13	41026399	41039771	13373	2	17152	ENSMUST00000225906.1	-11655	ENSMUSG00000021363	Mak	male germ cell-associated kinase
chr6	65453545	65454044	500	*	Intron (ENSMUST00000170608.7/243407, intron 4 of 5)	6	65441304	65452993	11690	1	243407	ENSMUST00000136016.2	12241	ENSMUSG00000029917	Qrfprl	pyroglutamylated RFamide peptide receptor like
chr12	101417596	101418095	500	*	Exon (ENSMUST00000221965.1/271036, exon 3 of 5)	12	101404752	101625854	221103	1	271036	ENSMUST00000221241.1	12844	ENSMUSG00000047014	Catsperb	cation channel sperm associated auxiliary subunit beta
chr16	4508889	4509388	500	*	Intron (ENSMUST00000090500.9/106393, intron 1 of 5)	16	4493603	4523063	29461	2	106393	ENSMUST00000132284.1	13675	ENSMUSG00000022519	Srl	sarcalumenin
chr12	72056737	72057236	500	*	Distal Intergenic	12	72067976	72071125	3150	2	238252	ENSMUST00000050649.5	13889	ENSMUSG00000043398	Gpr135	G protein-coupled receptor 135
chr8	68298682	68299181	500	*	Exon (ENSMUST00000213094.1/ENSMUST00000213094.1, exon 1 of 1)	8	68282307	68347699	65393	1	72281	ENSMUST00000212166.1	16375	ENSMUSG00000053886	Sh2d4a	SH2 domain containing 4A
chr13	21275477	21275976	500	*	Distal Intergenic	13	21286429	21292731	6303	2	14780	ENSMUST00000110491.8	16755	ENSMUSG00000004344	Gpx5	glutathione peroxidase 5
chr17	73186261	73186760	500	*	Intron (ENSMUST00000149064.8/225010, intron 3 of 4)	17	73204150	73240371	36222	1	225010	ENSMUST00000134149.1	-17390	ENSMUSG00000054469	Lclat1	lysocardiolipin acyltransferase 1
chr8	79971634	79972133	500	*	3' UTR	8	79965851	79990349	24499	2	15245	ENSMUST00000155850.2	18216	ENSMUSG00000064325	Hhip	Hedgehog-interacting protein
chr18	68207954	68208453	500	*	Intron (ENSMUST00000063775.4/52662, intron 3 of 5)	18	68228067	68268630	40564	1	52662	ENSMUST00000236987.1	-19614	ENSMUSG00000024544	Ldlrad4	low density lipoprotein receptor class A domain containing 4
chr4	89078505	89079004	500	*	Intron (ENSMUST00000146678.1/100040617, intron 2 of 2)	4	89058796	89084614	25819	1	100040617	ENSMUST00000129601.1	19709	ENSMUSG00000085183	Wincr1	WNT induced non-coding RNA 1
chr19	38460458	38460957	500	*	Distal Intergenic	19	38481121	38783430	302310	1	74055	ENSMUST00000182481.7	-20164	ENSMUSG00000024998	Plce1	phospholipase C, epsilon 1
chr6	21236751	21237250	500	*	Intron (ENSMUST00000081542.5/16508, intron 1 of 5)	6	21215503	21729805	514303	1	16508	ENSMUST00000081542.5	21248	ENSMUSG00000060882	Kcnd2	potassium voltage-gated channel, Shal-related family, member 2
chr19	27260452	27260951	500	*	Exon (ENSMUST00000235357.1/ENSMUST00000235357.1, exon 2 of 2)	19	27238774	27243828	5055	1	22359	ENSMUST00000165761.1	21678	ENSMUSG00000024924	Vldlr	very low density lipoprotein receptor
