seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr18	69500426	69500925	500	*	Promoter (<=1kb)	18	69500670	69636916	136247	1	21413	ENSMUST00000207214.1	0	ENSMUSG00000053477	Tcf4	transcription factor 4
chr16	12810871	12811370	500	*	Promoter (<=1kb)	16	12811390	12848653	37264	1	75493	ENSMUST00000190074.1	-20	ENSMUSG00000101565	1700003L19Rik	RIKEN cDNA 1700003L19 gene
chr10	62763747	62764246	500	*	Promoter (<=1kb)	10	62747285	62763467	16183	2	67500	ENSMUST00000218786.1	-280	ENSMUSG00000020074	Ccar1	cell division cycle and apoptosis regulator 1
chr14	105290823	105291322	500	*	Promoter (<=1kb)	14	105292289	105308869	16581	1	76273	ENSMUST00000149781.7	-967	ENSMUSG00000053253	Ndfip2	Nedd4 family interacting protein 2
chr4	101504520	101505019	500	*	Intron (ENSMUST00000154120.8/72685, intron 1 of 11)	4	101507871	101642799	134929	1	72685	ENSMUST00000038207.11	-2852	ENSMUSG00000028528	Dnajc6	DnaJ heat shock protein family (Hsp40) member C6
chr2	118415698	118416197	500	*	Intron (ENSMUST00000110877.7/27103, intron 6 of 10)	2	118412346	118475234	62889	1	27103	ENSMUST00000110870.7	3352	ENSMUSG00000005102	Eif2ak4	eukaryotic translation initiation factor 2 alpha kinase 4
chr14	47064617	47065116	500	*	Intron (ENSMUST00000022386.14/74480, intron 5 of 12)	14	47068974	47102154	33181	1	74480	ENSMUST00000125688.1	-3858	ENSMUSG00000021838	Samd4	sterile alpha motif domain containing 4
chr15	92165844	92166343	500	*	Intron (ENSMUST00000141187.7/12805, intron 1 of 8)	15	92161357	92340114	178758	1	12805	ENSMUST00000068378.5	4487	ENSMUSG00000055022	Cntn1	contactin 1
chr1	54652162	54652661	500	*	Intron (ENSMUST00000179030.7/329154, intron 26 of 27)	1	54649097	54657687	8591	2	329154	ENSMUST00000178156.7	5026	ENSMUSG00000052331	Ankrd44	ankyrin repeat domain 44
chr9	37636636	37637135	500	*	Intron (ENSMUST00000213126.1/22619, intron 8 of 10)	9	37642680	37645256	2577	1	22619	ENSMUST00000213964.1	-5545	ENSMUSG00000001942	Siae	sialic acid acetylesterase
chr6	149303366	149303865	500	*	Distal Intergenic	6	149309414	149326671	17258	1	67246	ENSMUST00000130664.7	-5549	ENSMUSG00000032712	Resf1	retroelement silencing factor 1
chr10	88676405	88676904	500	*	3' UTR	10	88674772	88683023	8252	2	20728	ENSMUST00000004473.14	6119	ENSMUSG00000004359	Spic	Spi-C transcription factor (Spi-1/PU.1 related)
chr6	108136651	108137150	500	*	Intron (ENSMUST00000032191.15/58911, intron 7 of 8)	6	108118203	108144695	26493	2	58911	ENSMUST00000169446.1	7545	ENSMUSG00000030101	Sumf1	sulfatase modifying factor 1
chr11	70852701	70853200	500	*	Intron (ENSMUST00000076270.12/54189, intron 1 of 17)	11	70844975	70940483	95509	1	54189	ENSMUST00000178245.1	7726	ENSMUSG00000020817	Rabep1	rabaptin, RAB GTPase binding effector protein 1
chr18	50010772	50011271	500	*	Intron (ENSMUST00000148989.2/106869, intron 1 of 1)	18	50019567	50090794	71228	1	106869	ENSMUST00000126666.2	-8296	ENSMUSG00000062210	Tnfaip8	tumor necrosis factor, alpha-induced protein 8
chr2	128437934	128438433	500	*	Intron (ENSMUST00000224297.1/ENSMUST00000224297.1, intron 2 of 7)	2	128178319	128429366	251048	2	100043424	ENSMUST00000225087.1	-8568	ENSMUSG00000074813	Morrbid	myeloid RNA regulator of BCL2L11 induced cell death
chr2	11162692	11163191	500	*	Distal Intergenic	2	11172108	11301222	129115	1	18761	ENSMUST00000028118.8	-8917	ENSMUSG00000026778	Prkcq	protein kinase C, theta
chr10	91229992	91230491	500	*	Distal Intergenic	10	91208258	91220642	12385	2	102633753	ENSMUST00000216311.1	-9350	ENSMUSG00000111544	4930534H03Rik	RIKEN cDNA 4930534H03 gene
chr2	35386023	35386522	500	*	Intron (ENSMUST00000113010.8/74854, intron 3 of 5)	2	35375582	35397057	21476	2	74854	ENSMUST00000113009.1	10535	ENSMUSG00000079421	4930402F06Rik	RIKEN cDNA 4930402F06 gene
chr3	123256338	123256837	500	*	Distal Intergenic	3	123267455	123365641	98187	1	69608	ENSMUST00000047923.11	-10618	ENSMUSG00000039234	Sec24d	SEC24 homolog D, COPII coat complex component
chr11	22500509	22501008	500	*	Distal Intergenic	11	22512088	22519234	7147	1	103765	ENSMUST00000059319.7	-11080	ENSMUSG00000049904	Tmem17	transmembrane protein 17
chr18	43219522	43220021	500	*	Intron (ENSMUST00000045477.5/269019, intron 2 of 12)	18	43207677	43318682	111006	1	269019	ENSMUST00000237797.1	11845	ENSMUSG00000039954	Stk32a	serine/threonine kinase 32A
chr5	107343380	107343879	500	*	Exon (ENSMUST00000031215.14/114642, exon 4 of 19)	5	107331192	107342075	10884	1	114642	ENSMUST00000161377.1	12188	ENSMUSG00000029279	Brdt	bromodomain, testis-specific
chr3	89123314	89123813	500	*	Distal Intergenic	3	89136142	89146594	10453	1	18770	ENSMUST00000047111.12	-12329	ENSMUSG00000041237	Pklr	pyruvate kinase liver and red blood cell
chr8	46036622	46037121	500	*	Intron (ENSMUST00000170416.7/102141, intron 15 of 17)	8	46022480	46029448	6969	1	67620	ENSMUST00000132341.1	14142	ENSMUSG00000031637	Lrp2bp	Lrp2 binding protein
chr11	20186702	20187201	500	*	Distal Intergenic	11	20201432	20226856	25425	1	19324	ENSMUST00000020358.11	-14231	ENSMUSG00000020149	Rab1a	RAB1A, member RAS oncogene family
chr14	7900005	7900504	500	*	Intron (ENSMUST00000052678.8/286940, intron 18 of 45)	14	7884741	7887542	2802	1	286940	ENSMUST00000228206.1	15264	ENSMUSG00000025278	Flnb	filamin, beta
chr3	109478142	109478641	500	*	Intron (ENSMUST00000046864.13/57257, intron 2 of 26)	3	109494784	109503696	8913	1	57257	ENSMUST00000128033.1	-16143	ENSMUSG00000033721	Vav3	vav guanine nucleotide exchange factor 3
chr19	58033060	58033559	500	*	Intron (ENSMUST00000077282.6/226255, intron 27 of 28)	19	58051167	58051236	70	1	100885835	ENSMUST00000176631.1	-17608	ENSMUSG00000093757	Mir5623	microRNA 5623
chr8	79971634	79972133	500	*	3' UTR	8	79965851	79990349	24499	2	15245	ENSMUST00000155850.2	18216	ENSMUSG00000064325	Hhip	Hedgehog-interacting protein
