ID,BW,Diet,Treatment,Gastroc,Heart,vWAT,scWAT,BAT
1718,27.5,HFD,Water,117.4768436,2167.828582,33.62444767,59.81137348,1023.100724
1719,30,HFD,Water,149.3231075,3876.432449,29.14811312,38.62137465,1991.558934
1720,29.9,HFD,Water,111.6509569,2091.301325,14.00041146,32.20994643,1713.862021
1736,35.1,HFD,Water,145.6544696,3246.939558,35.6376824,65.84791836,1774.270849
1735,32.1,HFD,Water,131.9123038,2466.177856,36.8558497,59.41570583,1164.701981
1746,34.9,HFD,Water,71.29169248,2418.408668,24.4530131,25.84893519,2232.184396
1761,37.3,HFD,Water,107.166117,3496.415622,21.31020647,28.48614965,1661.942076
1762,36.5,HFD,Water,188.2424348,2798.577581,26.6705639,29.45462838,2506.066194
1771,37.3,HFD,Water,206.1255504,3210.898184,26.98072786,27.69663629,303.3949176
1772,37.4,HFD,Water,68.59945402,3229.379518,29.30867116,31.53469653,2765.580786
1773,36.6,HFD,Water,100.6470611,3043.309919,30.60557333,33.03730308,1267.70795
1722,30.3,HFD,Dexamethasone,30.44179618,2431.908197,24.44909721,20.62557753,1969.539957
1723,31.4,HFD,Dexamethasone,52.70038666,2818.53783,45.64526549,43.61191873,2434.570065
1724,27.6,HFD,Dexamethasone,39.5396388,2002.808661,32.58365286,36.8050223,1695.275424
1725,30,HFD,Dexamethasone,43.88276315,3156.098695,31.21818508,34.91460421,1978.600185
1726,27.6,HFD,Dexamethasone,145.509533,2339.271363,24.1924743,29.367566,2452.043335
1728,32.7,HFD,Dexamethasone,23.63026855,2041.791146,26.69869658,27.39570604,917.6321301
1742,33.3,HFD,Dexamethasone,26.08504587,1602.843252,19.66257123,18.98446063,864.824301
1743,27,HFD,Dexamethasone,26.75317776,1548.151803,19.30829456,13.33595224,1071.390332
1754,25.7,HFD,Dexamethasone,47.28597653,1445.359206,11.97973517,14.50020236,1718.509263
1755,30.5,HFD,Dexamethasone,20.22655269,1335.011275,24.97250393,28.84215816,1063.408807
1757,31.3,HFD,Dexamethasone,21.36222502,1205.866583,26.19006808,28.48813088,1315.673819
1767,36.6,HFD,Dexamethasone,23.53237838,1656.662068,30.50758521,30.45263106,868.3914764
1768,37.2,HFD,Dexamethasone,37.61927544,1817.041066,24.32297714,27.27083128,549.6666832
1769,30,HFD,Dexamethasone,32.86954674,1274.221437,19.54254155,29.58784906,976.9310705
