diet,treatment,ID,time,glucose
NCD,water,7182,0,149
NCD,water,7184,0,128
NCD,water,7181,0,156
NCD,water,7186,0,121
NCD,dexamethasone,7176,0,159
NCD,dexamethasone,7180,0,143
NCD,dexamethasone,7183,0,127
NCD,dexamethasone,7177,0,135
HFD,water,7189,0,193
HFD,water,7187,0,184
HFD,water,7188,0,192
HFD,water,7179,0,206
HFD,dexamethasone,7178,0,201
HFD,dexamethasone,7175,0,241
HFD,dexamethasone,7185,0,366
NCD,water,7182,15,148
NCD,water,7184,15,129
NCD,water,7181,15,131
NCD,water,7186,15,141
NCD,dexamethasone,7176,15,148
NCD,dexamethasone,7180,15,150
NCD,dexamethasone,7183,15,135
NCD,dexamethasone,7177,15,160
HFD,water,7189,15,195
HFD,water,7187,15,115
HFD,water,7188,15,182
HFD,water,7179,15,227
HFD,dexamethasone,7178,15,165
HFD,dexamethasone,7175,15,315
HFD,dexamethasone,7185,15,432
NCD,water,7182,30,91
NCD,water,7184,30,113
NCD,water,7181,30,107
NCD,water,7186,30,133
NCD,dexamethasone,7176,30,151
NCD,dexamethasone,7180,30,149
NCD,dexamethasone,7183,30,135
NCD,dexamethasone,7177,30,158
HFD,water,7189,30,147
HFD,water,7187,30,85
HFD,water,7188,30,129
HFD,water,7179,30,152
HFD,dexamethasone,7178,30,114
HFD,dexamethasone,7175,30,250
HFD,dexamethasone,7185,30,406
NCD,water,7182,45,77
NCD,water,7184,45,100
NCD,water,7181,45,75
NCD,water,7186,45,117
NCD,dexamethasone,7176,45,163
NCD,dexamethasone,7180,45,166
NCD,dexamethasone,7183,45,125
NCD,dexamethasone,7177,45,156
HFD,water,7189,45,122
HFD,water,7187,45,56
HFD,water,7188,45,118
HFD,water,7179,45,142
HFD,dexamethasone,7178,45,127
HFD,dexamethasone,7175,45,155
HFD,dexamethasone,7185,45,394
NCD,water,7182,60,72
NCD,water,7184,60,101
NCD,water,7181,60,83
NCD,water,7186,60,116
NCD,dexamethasone,7176,60,164
NCD,dexamethasone,7180,60,179
NCD,dexamethasone,7183,60,155
NCD,dexamethasone,7177,60,197
HFD,water,7189,60,137
HFD,water,7187,60,37
HFD,water,7188,60,111
HFD,water,7179,60,125
HFD,dexamethasone,7178,60,168
HFD,dexamethasone,7175,60,141
HFD,dexamethasone,7185,60,428
NCD,water,7182,75,83
NCD,water,7184,75,90
NCD,water,7181,75,101
NCD,water,7186,75,139
NCD,dexamethasone,7176,75,160
NCD,dexamethasone,7180,75,186
NCD,dexamethasone,7183,75,167
NCD,dexamethasone,7177,75,219
HFD,water,7189,75,135
HFD,water,7187,75,37
HFD,water,7188,75,115
HFD,water,7179,75,143
HFD,dexamethasone,7178,75,210
HFD,dexamethasone,7175,75,175
HFD,dexamethasone,7185,75,478
NCD,water,7182,90,94
NCD,water,7184,90,92
NCD,water,7181,90,108
NCD,water,7186,90,133
NCD,dexamethasone,7176,90,177
NCD,dexamethasone,7180,90,197
NCD,dexamethasone,7183,90,138
NCD,dexamethasone,7177,90,211
HFD,water,7189,90,140
HFD,water,7187,90,42
HFD,water,7188,90,112
HFD,water,7179,90,140
HFD,dexamethasone,7178,90,210
HFD,dexamethasone,7175,90,219
HFD,dexamethasone,7185,90,545
NCD,water,7182,105,94
NCD,water,7184,105,89
NCD,water,7181,105,115
NCD,water,7186,105,91
NCD,dexamethasone,7176,105,175
NCD,dexamethasone,7180,105,177
NCD,dexamethasone,7183,105,172
NCD,dexamethasone,7177,105,214
HFD,water,7189,105,141
HFD,water,7187,105,70
HFD,water,7188,105,146
HFD,water,7179,105,154
HFD,dexamethasone,7178,105,222
HFD,dexamethasone,7175,105,288
HFD,dexamethasone,7185,105,600
NCD,water,7182,120,108
NCD,water,7184,120,92
NCD,water,7181,120,133
NCD,water,7186,120,144
NCD,dexamethasone,7176,120,153
NCD,dexamethasone,7180,120,168
NCD,dexamethasone,7183,120,149
NCD,dexamethasone,7177,120,213
HFD,water,7189,120,166
HFD,water,7187,120,96
HFD,water,7188,120,165
HFD,water,7179,120,179
HFD,dexamethasone,7178,120,239
HFD,dexamethasone,7175,120,347
HFD,dexamethasone,7185,120,600
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
