# This file is generated by MACS								
# ARGUMENTS LIST:								
# name = GR_Dex_Peaks								
# ChIP-seq file = signal.bed								
# control file = bg.bed								
# effective genome size = 2.70e+09								
# tag size = 25								
# band width = 300								
# model fold = 20								
# pvalue cutoff = 1.00e-10								
"# Ranges for calculating regional lambda are : 1000,5000,10000"								
# d = 67								
chr	start	end	length	summit	tags	something	fold_enrichment	FDR(%)
chr1	7125	8886	1762	316	377	354.65	3.72	2.56
chr1	29193	29410	218	106	16	102.14	14.56	21.81
chr1	94778	95133	356	103	36	128.32	9.76	13.23
chr1	406377	406718	342	133	102	147.78	8.13	9.97
chr1	795053	795403	351	163	66	180.94	6.97	7.22
chr1	1068974	1069220	247	147	29	114.6	10.92	16.59
chr1	1138777	1139162	386	195	77	350.77	17.19	2.61
chr1	1257263	1257752	490	280	142	522.74	17.87	1.48
chr1	1597442	1597961	520	239	91	255.77	11.06	3.86
chr1	1778645	1778955	311	182	94	826.94	46.98	0.96
chr1	1779916	1780225	310	158	44	236.76	19.36	4.57
chr1	1812004	1812609	606	387	147	117.65	6.34	15.68
chr1	2133689	2134357	669	445	140	172.19	6.76	7.66
chr1	2375332	2375720	389	168	78	253.93	11.25	3.92
chr1	2456155	2456546	392	221	48	110.57	7.56	18
chr1	3016223	3016611	389	176	55	262.58	16.94	3.68
chr1	3143965	3144344	380	170	44	244.21	19.83	4.32
chr1	3572950	3573287	338	169	47	247.93	17.81	4.16
chr1	5965522	5965758	237	94	26	156.72	13.18	8.98
chr1	6140392	6140994	603	356	98	423.01	21.14	2.06
chr1	6165601	6165937	337	141	38	143.95	8.76	10.34
chr1	6242115	6242899	785	258	329	2340.75	49.23	1.03
chr1	6299609	6299874	266	158	21	114.58	15.24	16.59
chr1	6368266	6368799	534	251	177	880.8	20.81	0.89
chr1	6868375	6868709	335	184	76	619.9	35.57	1.11
chr1	7092216	7092529	314	129	30	168.28	17.42	7.95
chr1	7151261	7151534	274	106	24	161.74	21.03	8.46
chr1	7248411	7249087	677	444	156	314.43	10.97	3.14
chr1	7281943	7282423	481	274	115	257.08	6.02	3.83
chr1	7286104	7286687	584	176	75	381.44	23.23	2.3
chr1	7509153	7509474	322	145	41	184.15	13.55	6.86
chr1	7631485	7632010	526	229	94	519.12	23.71	1.52
chr1	7987247	7988289	1043	500	641	3100	23.16	1.07
chr1	8009360	8010447	1088	772	209	202.96	5.74	5.71
chr1	8029859	8030049	191	90	18	106.86	12.78	19.4
chr1	8030307	8030574	268	65	31	172.94	10.52	7.63
chr1	8038741	8038973	233	68	20	128.05	17.58	13.29
chr1	8043842	8044276	435	284	97	280.22	9.44	3.39
chr1	8053600	8053917	318	146	104	1202.09	90.58	1.03
chr1	8058089	8058389	301	236	41	269.71	21.68	3.56
chr1	8059795	8060261	467	287	73	248.08	12.41	4.14
chr1	8060795	8061161	367	196	38	174.23	11.86	7.54
chr1	8066541	8067156	616	317	107	696.75	25.29	0.97
chr1	8073728	8074000	273	119	26	140.81	18.43	10.93
chr1	8077445	8077856	412	121	48	164.76	10.09	8.23
chr1	8103377	8103894	518	337	47	151.84	7.45	9.5
chr1	8103921	8104367	447	277	53	183.49	11.78	6.97
chr1	8120446	8120827	382	185	46	255.05	22	3.89
chr1	8137325	8137687	363	179	61	310.61	16.26	3.16
chr1	8138120	8138625	506	248	148	1203.61	47.97	1.03
chr1	8150580	8150958	379	198	71	410.03	23.71	2.12
chr1	8152357	8152711	355	213	107	828.74	41.01	0.96
chr1	8157005	8157369	365	192	185	1583.13	49.83	1.15
chr1	8157378	8157791	414	213	183	1488.01	46.61	1.13
chr1	8164703	8165484	782	183	325	1760.63	22.47	0.84
chr1	8167006	8167299	294	143	106	926.79	39.15	0.89
chr1	8172448	8173024	577	337	419	3100	112.92	1.07
chr1	8177061	8177818	758	283	136	367.72	12.82	2.44
chr1	8180390	8180943	554	366	468	3100	29.52	1.07
chr1	8184763	8185190	428	226	155	838.07	24.23	0.97
chr1	8185278	8185601	324	177	56	208.78	12.09	5.47
chr1	8194441	8195129	689	325	396	1904.76	16.44	0.82
chr1	8201449	8201701	253	132	24	121.45	16.65	14.58
chr1	8221303	8221757	455	291	70	126.47	8.13	13.61
chr1	8241535	8242633	1099	468	621	3100	96.75	1.07
chr1	8300474	8300983	510	236	109	169.37	7.07	7.89
chr1	8325657	8326840	1184	670	726	2808.73	17.19	1.21
chr1	8331010	8331906	897	424	270	1319.11	25.45	1.18
chr1	8347198	8347774	577	214	74	269.9	14.58	3.56
chr1	8379524	8380040	517	271	214	2294.85	82.39	0.98
chr1	8395260	8395555	296	137	42	351.76	42.06	2.6
chr1	8449658	8449927	270	128	20	119.86	19.94	15.06
chr1	8500552	8500745	194	125	15	100.04	14.56	22.76
chr1	8860530	8862044	1515	204	231	186.54	4.49	6.78
chr1	8872668	8872952	285	136	59	367.29	21.68	2.43
chr1	8984786	8985164	379	195	61	432.41	37.94	2.01
chr1	9020851	9021465	615	253	185	1322.3	38.15	1.19
chr1	9061161	9061769	609	258	111	719.36	29.1	0.97
chr1	9297334	9297667	334	200	122	832.21	33.64	0.97
chr1	9314207	9314723	517	198	58	175.19	8.39	7.52
chr1	9359576	9359971	396	169	67	482.8	37.44	1.68
chr1	9367293	9367902	610	380	150	799.27	26.3	0.92
chr1	9384462	9384792	331	125	39	143.15	8.13	10.47
chr1	9418862	9419302	441	262	140	1198.73	54.76	1.02
chr1	9421155	9421977	823	340	189	892.43	14.94	0.85
chr1	9426541	9427061	521	395	69	414.9	26.42	2.11
chr1	9465583	9466061	479	178	54	183.78	9.87	6.9
chr1	9538642	9538994	353	180	38	276.87	29.12	3.4
chr1	9682827	9683224	398	202	84	617.46	40.65	1.14
chr1	10364078	10364363	286	120	28	127.4	12.77	13.37
chr1	10370158	10370617	460	208	122	625.32	23.77	1.02
chr1	10370766	10371359	594	338	206	1415.67	30.49	1.23
chr1	10421390	10421660	271	151	21	133.3	21.03	12.23
chr1	10579538	10579795	258	143	30	180.27	19.01	7.22
chr1	10728589	10728855	267	187	38	181.96	15.61	7.09
chr1	10801274	10801652	379	159	88	660.59	35.09	0.98
chr1	11141716	11142045	330	132	40	309.87	33.97	3.15
chr1	11552162	11552729	568	281	191	1884.3	80.22	0.8
chr1	11856862	11857145	284	152	24	103.58	11.74	21.01
chr1	11921575	11922267	693	206	125	538.37	17.25	1.41
chr1	12171270	12171921	652	386	159	1031.33	29.92	0.96
chr1	12419619	12419859	241	176	29	193.36	20.33	6.24
chr1	12421775	12422030	256	154	25	169.62	19.22	7.88
chr1	12433999	12434231	233	102	19	112.58	17.62	17.31
chr1	12458559	12458943	385	176	83	426.87	19.19	2.04
chr1	12460582	12461305	724	296	211	349.18	8.13	2.6
chr1	12463417	12464045	629	286	61	175.3	6.41	7.49
chr1	12467161	12467471	311	139	32	175.67	14.78	7.48
chr1	12507969	12508310	342	195	46	110.3	7.78	18.06
chr1	12510914	12511422	509	283	150	303.57	9.66	3.23
chr1	12522510	12523394	885	236	233	564.31	11.9	1.34
chr1	12555109	12555495	387	171	48	226.82	17.31	4.79
chr1	12556484	12556814	331	192	38	127.27	10.84	13.4
chr1	12586909	12587373	465	253	101	322.65	13.01	2.97
chr1	13930357	13930557	201	89	29	211.45	22.07	5.44
chr1	14147920	14148171	252	121	19	113.24	19.22	17.05
chr1	14941149	14941659	511	356	54	208.85	10.6	5.46
chr1	15367551	15367873	323	170	29	141.29	18.29	10.87
chr1	15551376	15551880	505	179	64	136.34	6.72	11.79
chr1	15555054	15555635	582	358	214	1575.55	47.7	1.14
