TargetID,Cushings.Delta Beta,GENOME_BUILD,CHR,MAPINFO,PROBE_SNPS,PROBE_SNPS_10,UCSC_REFGENE_NAME,UCSC_REFGENE_GROUP
cg10760240,0.2368734,37,17,35414006,,rs11653434,AATF,3'UTR
cg16310958,-0.3586946,37,20,25281332,,rs1046073,ABHD12,Body
cg20218135,0.2469692,37,19,17409380,,rs12982058,ABHD8,Body
cg12208638,0.2292533,37,11,66317822,,,ACTN3,Body
cg17386473,0.3005311,37,2,114715532,,,ACTR3,3'UTR
cg17527589,0.3266258,37,8,39380435,,,ADAM3A,Body
cg13633881,-0.2566095,37,9,136297879,,,ADAMTS13,Body
cg27468880,0.2957665,37,7,965995,,rs55956927,ADAP1,Body
cg14464133,0.2142867,37,10,1245586,rs67315205,rs71376892,ADARB2,Body
cg26008260,-0.2450989,37,2,25057298,,rs2278486,ADCY3,Body
cg00004073,0.203046,37,2,237027592,,,AGAP1,Body
cg18662228,-0.3424747,37,2,236867804,,,AGAP1,Body
cg23750895,0.2628474,37,10,46321377,,,AGAP4,Body
cg08238319,-0.2637857,37,5,404713,,rs11743226,AHRR,Body
cg08238319,-0.2637857,37,5,404713,,rs11743226,LOC100310782,Body
cg08624915,0.2507709,37,16,31538718,rs8046452,rs4889672,AHSP,TSS1500
cg11136592,0.2518678,37,10,5246625,,,AKR1C4,Body
cg05084668,0.2760473,37,3,125655381,,rs63749780,ALG1L,5'UTR
cg26002615,0.2158982,37,11,107420502,rs645056,,ALKBH8,Body
cg01600516,-0.3804649,37,17,6904263,,rs11571335,ALOX12,Body
cg07227024,0.5541041,37,2,202163482,,,ALS2CR12,Body
cg14908680,-0.3173872,37,2,241497846,,rs56321002,ANKMY1,TSS1500
cg07319199,-0.2754104,37,2,69273285,,,ANTXR1,Body
cg19389973,0.2128614,37,7,36692197,,rs4723550,AOAH,Body
cg16999994,0.2751051,37,11,1001560,,,AP2A2,Body
cg25013753,-0.211597,37,10,49654342,,rs1051508,ARHGAP22,3'UTR
cg05890457,0.2582007,37,8,1905131,,,ARHGEF10,Body
cg22645355,0.2707668,37,10,52002547,,,ASAH2,Body
cg18847598,0.3617919,37,11,123048161,,rs78286218,ASAM,Body
cg26038514,-0.3703955,37,8,131265658,,,ASAP1,Body
cg17056069,0.2301293,37,2,9409242,,rs35890230,ASAP2,Body
cg01567113,0.3046656,37,19,3910932,,,ATCAY,Body
cg06684911,0.3241902,37,19,1792217,,rs7258947,ATP8B3,Body
