"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","experiment.time","id","values","Dexamethasone","Treatment"
"1",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Body Weight","2015-03-11","fed","13:30:00",29265,"32500",FALSE,"Water"
"2",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Grip Strength (4 Paw)","2015-03-11","fed","13:30:00",29355,"2570,2590,2400,1730,2580",FALSE,"Water"
"3",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Total Fat Mass","2015-03-11","fed","13:30:00",29369,"2070",FALSE,"Water"
"4",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Lean Mass","2015-03-11","fed","13:30:00",29370,"29600",FALSE,"Water"
"5",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Grip Strength (4 Paw)","2015-03-17","fed","12:00:00",29984,"2370,2770,2480,1750,2280",FALSE,"Water"
"6",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Total Fat Mass","2015-03-17","fed","12:00:00",30062,"2110",FALSE,"Water"
"7",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Lean Mass","2015-03-17","fed","12:00:00",30063,"29060",FALSE,"Water"
"8",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Body Weight","2015-03-17","fed","12:00:00",30111,"32100",FALSE,"Water"
"9",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Body Weight","2015-03-24","fed","15:30:00",31245,"32200",FALSE,"Water"
"10",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Total Fat Mass","2015-03-24","fed","15:30:00",31295,"1890",FALSE,"Water"
"11",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Lean Mass","2015-03-24","fed","15:30:00",31296,"29280",FALSE,"Water"
"12",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Grip Strength (4 Paw)","2015-03-24","fed","15:30:00",31344,"2270,1720,1490,1850,2270",FALSE,"Water"
"13",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3035,191,8070,"C57BL/6J","Body Weight","2015-03-31","fed","15:30:00",32236,"32600",FALSE,"Water"
