MOUSE ID,BW,DIET,TREATMENT,0,15,30,45,60,75,90,AUC
1712,28.4,NCD,Water,180.0,154.0,77.0,58.0,49.0,,,6420.0
1713,27.8,NCD,Water,136.0,119.0,50.0,50.0,56.0,,,5145.0
1714,30.7,NCD,Water,152.0,106.0,72.0,74.0,59.0,,,5805.0
1732,30.1,NCD,Water,154.0,89.0,97.0,72.0,63.0,56.0,60.0,7260.0
1733,26.7,NCD,Water,137.0,158.0,172.0,151.0,153.0,157.0,174.0,14197.5
1734,26.1,NCD,Water,149.0,82.0,86.0,69.0,53.0,63.0,70.0,6937.5
1748,26.8,NCD,Water,138.0,161.0,154.0,150.0,198.0,141.0,160.0,14295.0
1738,28.4,NCD,Water,159.0,99.0,62.0,42.0,46.0,50.0,74.0,6232.5
1750,28.4,NCD,Water,159.0,117.0,62.0,54.0,56.0,71.0,91.0,7275.0
1751,30.2,NCD,Water,146.0,107.0,84.0,62.0,68.0,76.0,71.0,7582.5
1752,28.7,NCD,Water,141.0,86.0,81.0,77.0,73.0,63.0,68.0,7267.5
1753,29.3,NCD,Water,136.0,77.0,63.0,39.0,32.0,,,4185.0
1764,31.0,NCD,Water,132.0,147.0,133.0,98.0,73.0,63.0,70.0,9225.0
1765,30.9,NCD,Water,153.0,120.0,93.0,75.0,61.0,60.0,79.0,7875.0
1766,29.4,NCD,Water,150.0,128.0,65.0,41.0,50.0,70.0,87.0,7087.5
1715,23.6,NCD,Dexamethasone,138.0,71.0,74.0,66.0,72.0,,,5280.0
1716,23.0,NCD,Dexamethasone,166.0,111.0,94.0,97.0,106.0,,,7365.0
1717,23.4,NCD,Dexamethasone,141.0,94.0,92.0,77.0,84.0,,,6262.5
1729,24.5,NCD,Dexamethasone,129.0,108.0,99.0,72.0,76.0,73.0,64.0,7867.5
1730,26.4,NCD,Dexamethasone,132.0,112.0,106.0,83.0,79.0,84.0,83.0,8572.5
1731,25.8,NCD,Dexamethasone,147.0,115.0,93.0,81.0,72.0,73.0,81.0,8220.0
1749,24.8,NCD,Dexamethasone,137.0,112.0,88.0,80.0,76.0,80.0,76.0,8137.5
1739,27.2,NCD,Dexamethasone,137.0,109.0,102.0,103.0,92.0,98.0,95.0,9300.0
1740,24.6,NCD,Dexamethasone,111.0,94.0,70.0,61.0,64.0,68.0,64.0,6667.5
1758,27.4,NCD,Dexamethasone,106.0,80.0,56.0,43.0,39.0,40.0,48.0,5025.0
1759,25.9,NCD,Dexamethasone,95.0,75.0,53.0,45.0,44.0,47.0,54.0,5077.5
1760,28.9,NCD,Dexamethasone,147.0,98.0,86.0,86.0,71.0,80.0,81.0,8025.0
1774,24.2,NCD,Dexamethasone,134.0,157.0,124.0,111.0,100.0,93.0,40.0,10080.0
1775,26.2,NCD,Dexamethasone,149.0,110.0,106.0,105.0,96.0,86.0,111.0,9495.0
1776,25.8,NCD,Dexamethasone,109.0,135.0,167.0,173.0,154.0,151.0,155.0,13680.0
1718,27.9,HFD,Water,173.0,105.0,66.0,40.0,,,,4462.5
1719,30.0,HFD,Water,174.0,113.0,78.0,31.0,28.0,,,5055.0
1720,33.2,HFD,Water,194.0,82.0,73.0,58.0,31.0,,,5115.0
1735,29.4,HFD,Water,96.0,61.0,38.0,24.0,,,,2565.0
1736,34.1,HFD,Water,111.0,93.0,64.0,37.0,29.0,,,4177.5
1727,44.3,HFD,Water,200.0,146.0,110.0,71.0,67.0,57.0,62.0,8730.0
1745,48.8,HFD,Water,205.0,165.0,105.0,93.0,92.0,93.0,120.0,10657.5
1746,33.1,HFD,Water,179.0,124.0,73.0,56.0,32.0,28.0,,6037.5
1747,37.0,HFD,Water,174.0,126.0,81.0,64.0,38.0,36.0,,6480.0
1761,37.4,HFD,Water,201.0,80.0,80.0,55.0,40.0,39.0,44.0,6247.5
1762,35.4,HFD,Water,189.0,91.0,97.0,65.0,42.0,40.0,40.0,6742.5
1763,37.2,HFD,Water,235.0,83.0,92.0,59.0,36.0,32.0,85.0,6930.0
1771,38.6,HFD,Water,202.0,118.0,77.0,68.0,50.0,37.0,36.0,7035.0
1772,38.0,HFD,Water,220.0,139.0,93.0,50.0,34.0,,,6390.0
1773,35.4,HFD,Water,194.0,200.0,122.0,98.0,80.0,62.0,70.0,10410.0
1722,34.3,HFD,Dexamethasone,223.0,170.0,121.0,130.0,139.0,,,10072.5
1723,33.2,HFD,Dexamethasone,286.0,213.0,134.0,133.0,121.0,,,11160.0
1724,30.1,HFD,Dexamethasone,258.0,231.0,126.0,138.0,116.0,,,11100.0
1725,32.9,HFD,Dexamethasone,217.0,237.0,153.0,103.0,119.0,117.0,123.0,13485.0
1726,29.2,HFD,Dexamethasone,253.0,225.0,147.0,115.0,110.0,121.0,126.0,13612.5
1728,32.4,HFD,Dexamethasone,252.0,265.0,191.0,152.0,150.0,137.0,144.0,16395.0
1737,34.7,HFD,Dexamethasone,340.0,360.0,278.0,223.0,220.0,224.0,209.0,23692.5
1741,38.3,HFD,Dexamethasone,414.0,527.0,494.0,469.0,488.0,460.0,468.0,43185.0
1742,33.8,HFD,Dexamethasone,115.0,126.0,118.0,97.0,83.0,86.0,77.0,9090.0
1743,30.5,HFD,Dexamethasone,180.0,227.0,192.0,174.0,171.0,164.0,198.0,16755.0
1744,34.9,HFD,Dexamethasone,353.0,330.0,250.0,241.0,232.0,258.0,222.0,23977.5
1754,27.7,HFD,Dexamethasone,244.0,201.0,115.0,88.0,93.0,97.0,100.0,11490.0
1755,31.4,HFD,Dexamethasone,286.0,265.0,151.0,133.0,134.0,118.0,140.0,15210.0
1756,32.3,HFD,Dexamethasone,265.0,170.0,130.0,106.0,102.0,93.0,95.0,11715.0
1757,32.6,HFD,Dexamethasone,268.0,203.0,123.0,111.0,114.0,109.0,111.0,12742.5
1767,37.6,HFD,Dexamethasone,226.0,131.0,117.0,98.0,85.0,71.0,81.0,9832.5
1768,37.5,HFD,Dexamethasone,212.0,228.0,136.0,144.0,115.0,92.0,68.0,12825.0
1769,34.2,HFD,Dexamethasone,455.0,527.0,388.0,359.0,310.0,354.0,373.0,35280.0
